"","Nome","upp","Complexo","OBJECTID_1","OBJECTID","Codfavela","Cod_Comple","Flag_Ativa","Data_Cadas","Data_saida","Data_Alter","Pop_SABREN","Dom_SABREN","Fonte","Bairro_","RP","RA","AP","Porte","Shape_ST_1","Shape_ST_2","ShapeSTAre","ShapeSTLen","data_ocupacao","data_fim","Treatment","year.occupation","month.occupation","day.occupation","year.fim","month.fim","day.fim"
"1","1º de Abril","N","Nova Jersei","266","266","699","2136","1","2002-05-20T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1394","404","IBGE - Censo Demográfico 2010","0","5.1","17","5","entre 101 e 500 domicílios",2598.45383149,114188.729472,114188.727539062,2598.45383149175,NA,NA,0,NA,NA,NA,NA,NA,NA
"2","1º de Abril - Gouveia","N","Nova Jersei","975","976","937","2136","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","180","46","IBGE - Censo Demográfico 2010","0","5.3","19","5","< 100 domicílios",951.94001697,13646.0721329,13646.0717773438,951.940016969695,NA,NA,0,NA,NA,NA,NA,NA,NA
"3","27 de Setembro","N","Isolada","56","56","667","0","1","2002-03-20T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","403","130","IPP com base em IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",401.77090445,8575.4845966,8575.484375,401.770904450793,NA,NA,0,NA,NA,NA,NA,NA,NA
"4","29 de Março","N","Vila Vitória (RA-Campo Grande)","252","252","726","2133","1","2003-02-14T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1278","382","IBGE - Censo Demográfico 2010","0","5.3","19","5","entre 101 e 500 domicílios",2365.0117733,78402.8311494,78402.8276367188,2365.0117733019,NA,NA,0,NA,NA,NA,NA,NA,NA
"5","A. M. Mário Larrubia","N","Isolada","291","291","1026","0","1","2009-03-16T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","519","168","IBGE - Censo Demográfico 2010","0","5.4","26","5","entre 101 e 500 domicílios",1487.1837027,27092.5424602,27092.5415039062,1487.18370270421,NA,NA,0,NA,NA,NA,NA,NA,NA
"6","A. M. Pro-Melhoramento Olavo Gama e Adjacências","N","Largo do Corrêa 1","293","293","584","2144","1","1995-06-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1351","391","IBGE - Censo Demográfico 2010","0","5.4","26","5","entre 101 e 500 domicílios",2679.93740826,110722.2462,110722.250488281,2679.937408277,NA,NA,0,NA,NA,NA,NA,NA,NA
"7","A. M. São Sebastião","N","Barão","174","174","1047","2090","1","2009-03-27T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","69","18","IPP com base em IBGE - Censo Demográfico 2010","0","4.1","16","4","< 100 domicílios",221.10911138,3058.96786742,3058.9677734375,221.109111382891,NA,NA,0,NA,NA,NA,NA,NA,NA
"8","A.M. Amigos dos Teixeiras","N","Isolada","230","230","1038","0","1","2009-03-24T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","747","240","IPP com base em IBGE - Censo Demográfico 2010","0","5.1","33","5","entre 101 e 500 domicílios",1583.25970907,37928.8536127,37928.8530273438,1583.25970906405,NA,NA,0,NA,NA,NA,NA,NA,NA
"9","A.M. Barra América","N","Isolada","15","15","799","0","1","2004-01-01T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","198","57","IBGE - Censo Demográfico 2010","0","4.2","24","4","< 100 domicílios",284.3958574,4313.63317257,4313.63330078125,284.395857399958,NA,NA,0,NA,NA,NA,NA,NA,NA
"10","A.M. da Ilha de Guaratiba","N","Caminho do Abreu","319","319","581","2142","1","1995-05-18T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","320","80","IBGE - Censo Demográfico 2010","0","5.4","26","5","< 100 domicílios",1342.55394724,24825.619925,24825.6215820312,1342.55394725509,NA,NA,0,NA,NA,NA,NA,NA,NA
